id,name,name_code,attrition,age,gender,marital_status_id,distance_from_home,hourly_rate,daily_rate,monthly_rate,monthly_income,percent_salary_hike,job_level,job_role_id,business_travel_id,department_id,education_id,num_of_companies_worked,total_working_years,training_times_last_year,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager,stock_option_level,environment_satisfaction_id,job_involvement_id,job_satisfaction_id,performance_rating_id,relationship_satisfaction_id,work_life_balance_id,over_time,workload_pressure_index,engagement_score,engagement_feedback_score,training_hours_last_year,training_hours_last_6_months,training_gap_score,promotion_stagnation_ratio,role_stability_ratio,attrition_risk_class_id,over_time_hours_last_month,late_arrivals_last_month,absence_days_last_month,absence_ratio,work_shift_id
0,John Martinez,john_martinez,True,41,False,2,1,94,1102,19479,5993,11,2,0,1,1,1,8,8,0,6,4,0,5,0,1,2,3,2,0,0,True,3,4,2,0,0,5,0.0,0.667,2,13.0,13,1,0.0434782608695652,2
1,David Garcia,david_garcia,False,49,True,1,8,61,279,24907,5130,23,2,1,2,0,0,1,10,3,10,7,1,7,1,2,1,1,3,3,2,True,3,2,4,47,22,3,0.1,0.7,0,18.7,8,1,0.0434782608695652,1
2,Patricia Williams,patricia_williams,True,37,True,2,2,92,1373,2396,2090,15,1,2,1,0,1,6,7,3,0,0,0,0,0,3,1,2,2,1,2,True,4,2,2,38,21,3,0.0,0.0,0,21.566666666666663,11,1,0.0434782608695652,2
3,Elizabeth Johnson,elizabeth_johnson,False,33,False,1,3,56,1392,23159,2909,11,1,1,2,0,3,1,8,3,8,7,3,0,0,3,2,2,2,2,2,True,4,2,3,32,17,3,0.375,0.875,0,15.183333333333334,14,1,0.0434782608695652,2
4,Linda Brown,linda_brown,False,27,True,1,2,40,591,16632,3468,12,1,2,1,0,0,9,6,3,2,2,2,2,1,0,2,1,2,3,2,True,2,2,4,39,21,3,1.0,1.0,1,13.2,10,2,0.0869565217391304,1
5,Jennifer Johnson,jennifer_johnson,False,32,True,2,2,79,1005,11864,3068,13,1,2,2,0,1,0,8,2,7,7,3,6,0,3,2,3,2,2,1,True,2,4,4,31,17,3,0.429,1.0,1,16.45,13,1,0.0434782608695652,1
6,Barbara Miller,barbara_miller,False,59,False,1,3,81,1324,9964,2670,20,1,2,1,0,2,4,12,3,1,0,0,0,3,2,3,0,3,0,1,True,3,3,3,31,18,3,0.0,0.0,2,18.516666666666666,11,1,0.0434782608695652,2
7,Linda Martinez,linda_martinez,False,30,True,0,24,67,1358,13335,2693,22,1,2,1,0,0,1,1,2,1,0,0,0,1,3,2,2,3,1,2,True,2,3,3,24,10,4,0.0,0.0,0,18.883333333333333,10,2,0.0869565217391304,2
8,James Rodriguez,james_rodriguez,False,38,True,2,23,44,216,8787,9526,21,3,3,2,0,2,0,10,2,9,7,1,8,0,3,1,2,3,1,2,True,2,2,3,31,15,3,0.111,0.778,0,15.916666666666666,9,2,0.0869565217391304,1
9,Barbara Jones,barbara_jones,False,36,True,1,27,94,1299,16577,5237,13,2,4,1,0,2,6,17,3,7,7,7,7,2,2,2,2,2,1,1,True,3,3,3,28,15,4,1.0,1.0,2,19.9,8,2,0.0869565217391304,1
